,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
478069,City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779545, -122.414299)",37.779545,-122.414299,11236,1170 MARKET ST,The Art Institute of California,MARKET,PARCEL,5,10,,2011,11,37.779492,-122.414288,POINT (-122.414276 37.779488),21.0,5.0,10.0,36.0,132.0,6.0,1.0,21.0,6.400000000184036e-05
505773,Guadalupe Elementary School,SFUSD,-2,5,PK-5,USD PreK-5,PS042,3,10,PS,38684786041123.0,"859 PRAGUE ST, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.710182, -122.434029)",37.710182,-122.434029,11338,859 PRAGUE ST,Guadalupe Elementary School,PRAGUE,SIDEWALK,1,2,,2011,6,37.710178,-122.434018,POINT (-122.434006 37.710175),58.0,9.0,1.0,7.0,154.0,,,58.0,1.5000000004761205e-05
510615,Telegraph Hill Neighborhood Center Child Development Preschool,Private,-2,-1,PK,Independent / Private,CDC145,3,4,CDC,380504793.0,"660 LOMBARD ST, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.803444, -122.412537)",37.803444,-122.412537,9097,555 CHESTNUT ST,Telegraph Hill Neighborhood Center,CHESTNUT,SIDEWALK,3,6,,2012,5,37.803439,-122.412527,POINT (-122.41251 37.803432),106.0,6.0,3.0,23.0,50.0,,,106.0,1.5000000004761205e-05
519631,"Cobb, Dr. William L. Cobb Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS022,3,10,PS,38684786040968.0,"2725 CALIFORNIA ST, San Francisco, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.787678, -122.439552)",37.787678,-122.439552,10696,2725 CALIFORNIA ST,Dr William Cobb CDC,CALIFORNIA,SIDEWALK,1,2,,2013,1,37.788021,-122.439512,POINT (-122.4395 37.788017),103.0,4.0,6.0,30.0,5.0,,,103.0,0.00038300000001356693
527582,Pacific Primary - Yellow Sun School,Private,-2,-1,PK,Independent / Private,CDC119,3,4,CDC,380500491.0,"1500 GROVE ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.775658, -122.441734)",37.775658,-122.441734,11071,1501 GROVE ST,Pacific Primary School,GROVE,SIDEWALK,2,4,,2010,0,37.775278,-122.441593,POINT (-122.44158 37.775272),24.0,7.0,11.0,18.0,71.0,,,24.0,0.0005209999999991055
534987,"Stockton, Commodore Stockton Early Education School",SFUSD,-2,4,PK-4,USD PreK/TK-4,PS110,3,9,PS,38684780117465.0,"1 TRENTON ST, San Francisco, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.795082, -122.40908)",37.795082,-122.40908,9199,949 WASHINGTON ST,Commodore Stockton CDC,WASHINGTON,SIDEWALK,1,2,,2013,3,37.794827,-122.409042,POINT (-122.40903 37.794823),104.0,6.0,3.0,6.0,12.0,,,104.0,0.000293000000006316
587461,Redding Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS093,5,10,PS,38684786041511.0,"1421 PINE ST, San Francisco, CA 94109",3,6075,SAN FRANCISCO,"CA
(37.78952, -122.41925)",37.78952,-122.41925,10337,1421 PINE ST,Redding CDC,PINE,SIDEWALK,1,2,,2013,1,37.789516,-122.419241,POINT (-122.41923 37.789513),50.0,4.0,3.0,21.0,44.0,10.0,,50.0,1.300000000981072e-05
593958,Wind In The Willows Early Learning Center,Private,-2,-1,PK,Independent / Private,CDC155,3,4,CDC,384000832.0,"713 MONTEREY BLVD, SAN FRANCISCO, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.731258, -122.451462)",37.731258,-122.451462,10221,705 MONTEREY BLVD,Railroad Espresso,MONTEREY,SIDEWALK,2,4,,2013,8,37.731253,-122.451321,POINT (-122.45131 37.731247),95.0,9.0,8.0,41.0,100.0,,,95.0,0.00014600000000797309
597382,Wind In The Willows Early Learning Center,Private,-2,-1,PK,Independent / Private,CDC155,3,4,CDC,384000832.0,"713 MONTEREY BLVD, SAN FRANCISCO, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.731258, -122.451462)",37.731258,-122.451462,11578,717 MONTEREY BLVD,Big Joe's Broiler 2,MONTEREY,SIDEWALK,1,2,,2010,0,37.731242,-122.451583,POINT (-122.45157 37.731236),95.0,9.0,8.0,41.0,100.0,,,95.0,0.00013699999998806334
610423,Moldovan Academy,Private,-2,0,PK-K,Independent / Private,IND275,3,5,IND,384002294.0,"1270 SANCHEZ ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.748898, -122.42968)",37.748898,-122.42968,10669,1270 SANCHEZ ST,Bethany United Methodist Church,SANCHEZ,SIDEWALK,2,4,,2013,4,37.748894,-122.429664,POINT (-122.42965 37.74889),84.0,3.0,5.0,22.0,84.0,,,84.0,1.9999999999242846e-05
612558,Moldovan Academy,Private,-2,0,PK-K,Independent / Private,IND275,3,5,IND,384002294.0,"1270 SANCHEZ ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.748898, -122.42968)",37.748898,-122.42968,12194,1286 SANCHEZ ST,Family Practice doctor's office,SANCHEZ,SIDEWALK,1,2,,2010,12,37.748574,-122.429624,POINT (-122.42961 37.74857),84.0,3.0,5.0,22.0,84.0,,,84.0,0.0003799999999998249
634111,Everett Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS029,11,13,PS,38684786062038.0,"450 CHURCH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.763577, -122.429367)",37.763577,-122.429367,11384,450 CHURCH ST,Everett Middle School,CHURCH,PARCEL,10,20,,0,0,37.763537,-122.429633,POINT (-122.42962 37.76353),37.0,3.0,5.0,5.0,88.0,,,37.0,0.0003059999999948104
634410,My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056.0,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.782394, -122.482086)",37.782394,-122.482086,12630,301 22nd ave,YMCA,22nd ave,SIDEWALK,1,2,,2019,12,37.78196648,-122.48165584,POINT (-122.48164 37.781963),8.0,8.0,4.0,29.0,28.0,,,8.0,0.0008576799999886475
634532,My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056.0,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.782394, -122.482086)",37.782394,-122.482086,10000,2121 Clement St,Bai Sum Thai Kitchen,CLEMENT,SIDEWALK,1,2,,2017,5,37.782074,-122.481893,POINT (-122.48188 37.78207),8.0,8.0,4.0,29.0,28.0,,,8.0,0.0005129999999908819
635889,My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056.0,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.782394, -122.482086)",37.782394,-122.482086,9234,2118 CLEMENT STREET,My Little Learning Tree,CLEMENT,SIDEWALK,2,4,,2015,11,37.782212,-122.481882,POINT (-122.481865 37.782207),8.0,8.0,4.0,29.0,28.0,,,8.0,0.0003859999999917818
636264,My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056.0,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.782394, -122.482086)",37.782394,-122.482086,9589,2147 Clement St,Bourbon County,CLEMENT,SIDEWALK,1,2,,2017,5,37.782063,-122.482162,POINT (-122.48215 37.78206),8.0,8.0,4.0,29.0,28.0,,,8.0,0.00040700000000271075
637354,My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056.0,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.782394, -122.482086)",37.782394,-122.482086,12637,2140 Clement,K-Elements BBQ,Clement,SIDEWALK,1,2,,2019,12,37.7821416,-122.48211873,POINT (-122.48211 37.782135),8.0,8.0,4.0,29.0,28.0,,,8.0,0.00028512999999463773
644853,Family School,Private,-2,-1,PK,Independent / Private,CDC039,3,4,CDC,384000805.0,"3101 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.747994, -122.418137)",37.747994,-122.418137,9264,3119 MISSION ST,medical building,MISSION,SIDEWALK,1,2,,2002,0,37.747507,-122.418295,POINT (-122.41828 37.7475),83.0,9.0,2.0,2.0,160.0,,,83.0,0.0006449999999986744
649493,Family School,Private,-2,-1,PK,Independent / Private,CDC039,3,4,CDC,384000805.0,"3101 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.747994, -122.418137)",37.747994,-122.418137,10373,3101 MISSION ST,Carecen,MISSION,SIDEWALK,1,2,,2003,0,37.747848,-122.418157,POINT (-122.418144 37.747845),83.0,9.0,2.0,2.0,160.0,,,83.0,0.00016599999999300508
656067,Adda Clevenger School,Private,0,8,K-8,Independent / Private,IND200,5,13,IND,38684786930572.0,"198 FAIR OAKS ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.753738, -122.424461)",37.753738,-122.424461,10325,180 FAIR OAKS ST,Adda Clevenger Jr Prep School,FAIR OAKS,SIDEWALK,3,6,,2013,3,37.753696,-122.424506,POINT (-122.42449 37.753693),52.0,3.0,5.0,20.0,176.0,,,52.0,8.700000000061436e-05
689821,"Carmichael, Bessie Carmichael K-5 Campus / Early Education",SFUSD,0,8,K-8,USD Grades K-8,PS013,5,13,PS,384001456.0,"375 07TH ST, San Francisco, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.776382, -122.406456)",37.776382,-122.406456,11413,375 07TH ST,Bessie Carmichael CDC,07TH,SIDEWALK,1,2,,2013,1,37.776086,-122.406435,POINT (-122.40642 37.77608),32.0,1.0,10.0,34.0,35.0,,,32.0,0.00031700000000256523
691716,Holy Family Day Home,Private,-2,-1,PK,Independent / Private,CDC054,3,4,CDC,380500308.0,"299 DOLORES ST, SAN FRANCISCO, CA 94103",8,6075,SAN FRANCISCO,"CA
(37.764992, -122.425796)",37.764992,-122.425796,10518,299 DOLORES ST,Holy Family School,DOLORES,SIDEWALK,2,4,,2010,0,37.764987,-122.425785,POINT (-122.42577 37.76498),37.0,3.0,5.0,20.0,178.0,,,37.0,1.6000000002236447e-05
708698,Love And Learn Nursery School,Private,-2,-1,PK,Independent / Private,CDC084,3,4,CDC,380503540.0,"1419 HOWARD ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.77335, -122.414795)",37.77335,-122.414795,9789,57 KISSLING ST,UNKNOWN,KISSLING,SIDEWALK,1,2,,2003,0,37.772948,-122.414348,POINT (-122.41434 37.77294),32.0,1.0,10.0,34.0,35.0,,,32.0,0.0008489999999952147
710637,Love And Learn Nursery School,Private,-2,-1,PK,Independent / Private,CDC084,3,4,CDC,380503540.0,"1419 HOWARD ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.77335, -122.414795)",37.77335,-122.414795,12239,201 11TH ST,Discount Fabrics,11TH,SIDEWALK,1,2,,2013,4,37.773128,-122.415056,POINT (-122.41504 37.773125),32.0,1.0,10.0,34.0,35.0,,,32.0,0.00048300000000978116
710707,Love And Learn Nursery School,Private,-2,-1,PK,Independent / Private,CDC084,3,4,CDC,380503540.0,"1419 HOWARD ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.77335, -122.414795)",37.77335,-122.414795,10255,225 11TH ST,Don Ramon's Mexican Restaurant,11TH,SIDEWALK,1,2,,2003,0,37.772933,-122.414939,POINT (-122.414925 37.772926),32.0,1.0,10.0,34.0,35.0,,,32.0,0.0005610000000046966
710760,Love And Learn Nursery School,Private,-2,-1,PK,Independent / Private,CDC084,3,4,CDC,380503540.0,"1419 HOWARD ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.77335, -122.414795)",37.77335,-122.414795,11958,1436 HOWARD ST,PariSoma Innovation Loft,HOWARD,SIDEWALK,2,4,,2010,9,37.77383,-122.415062,POINT (-122.41505 37.773827),32.0,1.0,10.0,34.0,181.0,,1.0,32.0,0.00074700000000405
730442,Balboa Preschool,Private,-2,0,PK-K,Independent / Private,IND213,3,5,IND,380505671.0,"527 BALBOA ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.776932, -122.464477)",37.776932,-122.464477,11906,515 BALBOA ST,SF Hardware,BALBOA,SIDEWALK,1,2,,2010,0,37.777072,-122.464271,POINT (-122.46426 37.77707),5.0,8.0,4.0,11.0,94.0,,,5.0,0.00034600000000040154
730756,Balboa Preschool,Private,-2,0,PK-K,Independent / Private,IND213,3,5,IND,380505671.0,"527 BALBOA ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.776932, -122.464477)",37.776932,-122.464477,9358,560 BALBOA ST,Thai Noodle Jump,BALBOA,SIDEWALK,1,2,,2004,0,37.777405,-122.464806,POINT (-122.46479 37.7774),5.0,8.0,4.0,11.0,94.0,,,5.0,0.000801999999993086
741029,"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,-2,0,PK-TK,USD PreK/TK,PS095,3,5,PS,380504356.0,"421 BARTLETT ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.749821, -122.418556)",37.749821,-122.418556,11389,2950 MISSION ST,Mission CDC,MISSION,SIDEWALK,1,2,,2013,3,37.749814,-122.418544,POINT (-122.41853 37.74981),53.0,3.0,2.0,20.0,87.0,,,53.0,1.8999999994662176e-05
743301,"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,-2,0,PK-TK,USD PreK/TK,PS095,3,5,PS,380504356.0,"421 BARTLETT ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.749821, -122.418556)",37.749821,-122.418556,12803,2961 Mission St,The Civic Kitchen,Mission St,SIDEWALK,2,4,,2019,12,37.74969757,-122.41818751,POINT (-122.418175 37.74969),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00049191999999465
748256,Kai Ming Head Start - Geary Center,Private,-2,-1,PK,Independent / Private,CDC060,3,4,CDC,384001291.0,"6221 GEARY BLVD, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.77972, -122.486191)",37.77972,-122.486191,12736,510 26th ave,Cafe Enchante,26th ave,SIDEWALK,1,2,,2019,12,37.77968957,-122.48577175,POINT (-122.485756 37.779686),8.0,8.0,4.0,29.0,146.0,,,8.0,0.0004496800000026724
780933,Golden Bridges School,Private,-2,0,PK-K,Independent / Private,IND246,3,5,IND,38684786145635.0,"3358 22ND ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.755467, -122.42231)",37.755467,-122.42231,9767,3376 22ND ST,Avantguard Locksmith,22ND,SIDEWALK,1,2,,2003,0,37.755447,-122.422558,POINT (-122.42255 37.755444),52.0,3.0,5.0,20.0,76.0,,,52.0,0.00026800000000548607
791228,Laurel Hill Nursery School,Private,-2,-1,PK,Independent / Private,CDC072,3,4,CDC,380504783.0,"401 EUCLID AVE, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.783798, -122.452728)",37.783798,-122.452728,11319,401 Euclid Ave,Laurel Hill Nursery School,EUCLID,SIDEWALK,2,4,,2015,11,37.783996,-122.452848,POINT (-122.452835 37.78399),11.0,8.0,6.0,31.0,77.0,,,11.0,0.00031800000001425133
793261,Laurel Hill Nursery School,Private,-2,-1,PK,Independent / Private,CDC072,3,4,CDC,380504783.0,"401 EUCLID AVE, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.783798, -122.452728)",37.783798,-122.452728,9073,401 EUCLID AVE,Laurel Hill Nursery School,EUCLID,SIDEWALK,1,2,,2003,0,37.783795,-122.452716,POINT (-122.452705 37.78379),11.0,8.0,6.0,31.0,77.0,,,11.0,1.4999999997655777e-05
796092,Phoebe A Hearst Learning Center,Private,-2,-1,PK,Independent / Private,CDC122,3,4,CDC,380500512.0,"1315 ELLIS ST, SAN FRANCISCO, CA 94114",5,6075,SAN FRANCISCO,"CA
(37.782681, -122.427948)",37.782681,-122.427948,12216,1315 Ellis Street,Phoebe Hearst Preschool,ELLIS,SIDEWALK,2,4,,2017,4,37.782883,-122.427843,POINT (-122.42783 37.78288),97.0,4.0,11.0,39.0,3.0,,,97.0,0.0003070000000064965
801969,Marin Day School - Market Street,Private,-4,-2,INF,Independent / Private,CDC090,1,3,CDC,384001297.0,"1390 MARKET ST, STE 108, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.777226, -122.417358)",37.777226,-122.417358,9304,1390 MARKET ST,Fox Plaza,MARKET,SIDEWALK,5,10,,2012,9,37.777219,-122.417348,POINT (-122.417336 37.777214),21.0,4.0,10.0,36.0,132.0,8.0,1.0,21.0,1.6999999985500835e-05
805246,Marin Day School - Market Street,Private,-4,-2,INF,Independent / Private,CDC090,1,3,CDC,384001297.0,"1390 MARKET ST, STE 108, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.777226, -122.417358)",37.777226,-122.417358,10667,1390 MARKET ST,Fox Plaza,MARKET,SIDEWALK,1,2,,0,0,37.777219,-122.417348,POINT (-122.417336 37.777214),21.0,4.0,10.0,36.0,132.0,8.0,1.0,21.0,1.6999999985500835e-05
828923,Oakes Childrens Center,Private,0,8,K-8,Independent / Private,IND279,5,13,IND,38684786981534.0,"1550 TREAT AVE, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.74593, -122.412697)",37.74593,-122.412697,12504,1521 Treat Avenue,Residential,Treat Avenue,SIDEWALK,2,4,,2019,12,37.74641708,-122.41249735,POINT (-122.41248 37.74641),83.0,9.0,2.0,2.0,160.0,,,83.0,0.0006867299999981924
835505,Sunset Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC141,3,4,CDC,384002119.0,"4245 LAWTON ST, SAN FRANCISCO, CA 94122",4,6075,SAN FRANCISCO,"CA
(37.756386, -122.508499)",37.756386,-122.508499,10374,4245 LAWTON ST,Sunset Co-op Nursery School,LAWTON,SIDEWALK,4,8,,2012,7,37.756379,-122.50849,POINT (-122.50848 37.756374),39.0,10.0,7.0,35.0,103.0,,,39.0,1.6000000002236447e-05
848904,De Marillac Academy,Private,4,8,4-8,Independent / Private,IND235,9,13,IND,38684787104466.0,"175 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.781658, -122.413345)",37.781658,-122.413345,10452,183 GOLDEN GATE AVE,UNKNOWN,GOLDEN GATE,SIDEWALK,1,2,,2006,0,37.781663,-122.413544,POINT (-122.41353 37.78166),20.0,5.0,10.0,36.0,131.0,6.0,1.0,20.0,0.00020399999999654028
855258,San Francisco Waldorf School,Private,-2,8,PK-8,Independent / Private,IND323,3,13,IND,38684786907927.0,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.790783, -122.44191)",37.790783,-122.44191,11764,2975 WASHINGTON ST,Bloomers,WASHINGTON,SIDEWALK,1,2,,2005,0,37.790423,-122.44218,POINT (-122.44217 37.790417),102.0,8.0,6.0,30.0,7.0,,,102.0,0.0006300000000010186
856902,San Francisco Waldorf School,Private,-2,8,PK-8,Independent / Private,IND323,3,13,IND,38684786907927.0,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.790783, -122.44191)",37.790783,-122.44191,12088,2938 WASHINGTON ST,San Francisco Waldorf School,WASHINGTON,SIDEWALK,2,4,,2015,12,37.790738,-122.441657,POINT (-122.44164 37.790733),102.0,8.0,6.0,30.0,7.0,,,102.0,0.00029799999998658677
857532,San Francisco Waldorf School,Private,-2,8,PK-8,Independent / Private,IND323,3,13,IND,38684786907927.0,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.790783, -122.44191)",37.790783,-122.44191,9577,2938 WASHINGTON ST,San Francisco Waldorf School,WASHINGTON,SIDEWALK,1,2,,2010,0,37.790778,-122.441897,POINT (-122.44189 37.79077),102.0,8.0,6.0,30.0,7.0,,,102.0,1.7999999990081506e-05
865196,Grattan Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-4, Grades K-5",PS041,3,10,PS,38684786041115.0,"165 GRATTAN ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.763493, -122.450424)",37.763493,-122.450424,10339,165 GRATTAN ST,Grattan Elementary School,GRATTAN,SIDEWALK,1,2,,2015,6,37.763626,-122.450467,POINT (-122.450455 37.763622),114.0,7.0,11.0,3.0,135.0,,,114.0,0.00017600000001039007
865456,Grattan Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-4, Grades K-5",PS041,3,10,PS,38684786041115.0,"165 GRATTAN ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.763493, -122.450424)",37.763493,-122.450424,10779,165 GRATTAN ST,Grattan School,GRATTAN,SIDEWALK,1,2,,2005,0,37.763475,-122.450493,POINT (-122.45048 37.76347),114.0,7.0,11.0,3.0,135.0,,,114.0,8.699999999350894e-05
917980,Marina Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS071,11,13,PS,38684786062061.0,"3500 FILLMORE ST, San Francisco, CA 94123",2,6075,SAN FRANCISCO,"CA
(37.801827, -122.435478)",37.801827,-122.435478,9596,3500 FILLMORE ST,Marina MS,FILLMORE,SIDEWALK,2,4,,2013,3,37.801821,-122.435468,POINT (-122.435455 37.801815),17.0,4.0,6.0,13.0,40.0,,,17.0,1.6000000009341875e-05
927414,San Francisco City Academy,Private,0,8,K-8,Independent / Private,IND313,5,13,IND,38684787095755.0,"230 JONES ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.783505, -122.412201)",37.783505,-122.412201,11762,240 JONES ST,Marlton Manor,JONES,SIDEWALK,1,2,,2015,6,37.783726,-122.412248,POINT (-122.41223 37.783722),20.0,5.0,10.0,36.0,18.0,6.0,1.0,20.0,0.0002680000000125915
947223,Kai Ming Head Start - Battery Center,Private,-2,-1,PK,Independent / Private,CDC059,3,4,CDC,384001838.0,"820 BATTERY ST, SAN FRANCISCO, CA 94111",3,6075,SAN FRANCISCO,"CA
(37.798973, -122.400581)",37.798973,-122.400581,11247,150 BROADWAY ST,For a Thinkspace,BROADWAY,SIDEWALK,2,4,,2015,10,37.798721,-122.400487,POINT (-122.400475 37.798717),77.0,6.0,3.0,8.0,22.0,,,77.0,0.00034600000000040154
955481,City College of San Francisco Southeast Center,SFCCD,13,14,13-14,Community College District,CC10,18,19,CC,,"1800 OAKDALE AVE, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.737148, -122.394096)",37.737148,-122.394096,10643,1800 OAKDALE AVE,UNKNOWN,OAKDALE,SIDEWALK,1,2,,2004,0,37.737048,-122.394116,POINT (-122.394104 37.73704),86.0,2.0,9.0,1.0,21.0,,,86.0,0.00011999999998835165
956965,Saint Marys School,Private,0,8,K-8,Independent / Private,IND300,5,13,IND,38684786981997.0,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.795944, -122.404907)",37.795944,-122.404907,11200,919 KEARNY ST,House of Nanking,KEARNY,SIDEWALK,1,2,,2010,0,37.796434,-122.405371,POINT (-122.40536 37.79643),104.0,6.0,3.0,6.0,55.0,,,104.0,0.0009540000000072268
957229,Saint Marys School,Private,0,8,K-8,Independent / Private,IND300,5,13,IND,38684786981997.0,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.795944, -122.404907)",37.795944,-122.404907,11919,919 KEARNY ST,House of Nanking,KEARNY,SIDEWALK,1,2,,2006,0,37.796434,-122.405371,POINT (-122.40536 37.79643),104.0,6.0,3.0,6.0,55.0,,,104.0,0.0009540000000072268
963882,Rainbow Montessori Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC126,3,4,CDC,380505779.0,"2354 24TH AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.743538, -122.480759)",37.743538,-122.480759,11096,2345 24TH AVE,SFPD Taraval Station,24TH,SIDEWALK,2,4,,2015,1,37.743827,-122.481152,POINT (-122.48114 37.743824),40.0,10.0,7.0,35.0,31.0,,,40.0,0.0006819999999905235
973650,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,9085,1365 VALENCIA ST,Dutailier,VALENCIA,SIDEWALK,1,2,,0,0,37.75115,-122.420209,POINT (-122.4202 37.751144),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00038200000000898626
973878,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,11519,1387 VALENCIA ST,Synergy School,VALENCIA,SIDEWALK,1,2,,2000,0,37.750869,-122.420187,POINT (-122.42017 37.750866),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00015499999999946112
974856,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,11251,1380 VALENCIA ST,Apartment,VALENCIA,SIDEWALK,1,2,,2000,0,37.750797,-122.420821,POINT (-122.42081 37.750793),53.0,3.0,5.0,20.0,176.0,,,53.0,0.00058299999999889
975125,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,9822,1387 VALENCIA ST,Synergy School,VALENCIA,SIDEWALK,2,4,,2011,3,37.750869,-122.420187,POINT (-122.42017 37.750866),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00015499999999946112
975250,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,12457,1398 VALENCIA ST,Women's Initiative for Self Employment,VALENCIA,SIDEWALK,1,2,,2011,3,37.750644,-122.420807,POINT (-122.42079 37.75064),53.0,3.0,5.0,20.0,176.0,,,53.0,0.0007219999999890092
