,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
270320,"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154.0,"2576 HARRISON ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.756741, -122.41262)",37.756741,-122.41262,10215,801 TREAT AVE,Las Americas Childcare Center,21ST,SIDEWALK,1,2,,2010,0,37.756822,-122.412738,POINT (-122.41273 37.756817),53.0,3.0,2.0,20.0,195.0,,,53.0,0.00019900000000205864
323168,New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,38684786097919.0,"2049 GROVE ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.773884, -122.450264)",37.773884,-122.450264,12126,2049 GROVE ST,New Traditions Elementary School,GROVE,SIDEWALK,1,2,,2012,2,37.77388,-122.450254,POINT (-122.45024 37.773876),24.0,7.0,11.0,18.0,71.0,,,24.0,1.4000000007285962e-05
324038,New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,38684786097919.0,"2049 GROVE ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.773884, -122.450264)",37.773884,-122.450264,12433,2049 GROVE ST,New Traditions Elementary School,GROVE,SIDEWALK,2,4,,2012,2,37.77388,-122.450254,POINT (-122.45024 37.773876),24.0,7.0,11.0,18.0,71.0,,,24.0,1.4000000007285962e-05
325992,New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,38684786097919.0,"2049 GROVE ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.773884, -122.450264)",37.773884,-122.450264,11845,2066 HAYES ST,New Traditions Elementary School,HAYES,SIDEWALK,2,4,,2013,1,37.77388,-122.450254,POINT (-122.45024 37.773876),24.0,7.0,11.0,18.0,71.0,,,24.0,1.4000000007285962e-05
377328,"Parker, Jean Parker Out-Of-School (OST) / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS088,5,10,PS,38684786041206.0,"840 BROADWAY, San Francisco, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797619, -122.411041)",37.797619,-122.411041,11408,840 BROADWAY,Jean Parker CDC,BROADWAY,SIDEWALK,1,2,,2013,3,37.797615,-122.411025,POINT (-122.41101 37.79761),107.0,6.0,3.0,6.0,16.0,,,107.0,1.9999999999242846e-05
385723,Spring Valley Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS108,5,10,PS,38684786041594.0,"1451 JACKSON ST, San Francisco, CA 94109",3,6075,SAN FRANCISCO,"CA
(37.794006, -122.418816)",37.794006,-122.418816,9877,1451 JACKSON ST,Spring Valley CDC,JACKSON,SIDEWALK,1,2,,2013,1,37.794001,-122.418806,POINT (-122.41879 37.793995),16.0,6.0,3.0,32.0,45.0,,,16.0,1.5000000004761205e-05
396775,Yick Wo Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS126,5,10,PS,38684786041131.0,"2245 JONES ST, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.80196, -122.416611)",37.80196,-122.416611,12528,2245 Jones Street,Yick Wo Elementary School,Jones Street,SIDEWALK,1,2,,2019,12,37.80190656,-122.41623111,POINT (-122.41622 37.801903),107.0,6.0,3.0,32.0,52.0,,,107.0,0.00043333000000700395
440458,Sanchez Elementary School  / Preschool,SFUSD,-2,5,PK-5,USD PreK-5,PS103,3,10,PS,38684786041545.0,"325 SANCHEZ ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.763454, -122.430359)",37.763454,-122.430359,10887,325 SANCHEZ ST,Sanchez Elementary School,SANCHEZ,SIDEWALK,2,4,,2015,1,37.763444,-122.430521,POINT (-122.43051 37.76344),37.0,3.0,5.0,5.0,88.0,,,37.0,0.00017200000000627824
474181,City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779545, -122.414299)",37.779545,-122.414299,10789,1170 MARKET ST,The Art Institute of California,MARKET,SIDEWALK,1,2,,2013,10,37.779492,-122.414288,POINT (-122.414276 37.779488),21.0,5.0,10.0,36.0,132.0,6.0,1.0,21.0,6.400000000184036e-05
477472,City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779545, -122.414299)",37.779545,-122.414299,10896,1170 MARKET ST,The Art Institute of California,MARKET,SIDEWALK,2,4,,0,0,37.779492,-122.414288,POINT (-122.414276 37.779488),21.0,5.0,10.0,36.0,132.0,6.0,1.0,21.0,6.400000000184036e-05
478069,City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779545, -122.414299)",37.779545,-122.414299,11236,1170 MARKET ST,The Art Institute of California,MARKET,PARCEL,5,10,,2011,11,37.779492,-122.414288,POINT (-122.414276 37.779488),21.0,5.0,10.0,36.0,132.0,6.0,1.0,21.0,6.400000000184036e-05
505773,Guadalupe Elementary School,SFUSD,-2,5,PK-5,USD PreK-5,PS042,3,10,PS,38684786041123.0,"859 PRAGUE ST, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.710182, -122.434029)",37.710182,-122.434029,11338,859 PRAGUE ST,Guadalupe Elementary School,PRAGUE,SIDEWALK,1,2,,2011,6,37.710178,-122.434018,POINT (-122.434006 37.710175),58.0,9.0,1.0,7.0,154.0,,,58.0,1.5000000004761205e-05
519631,"Cobb, Dr. William L. Cobb Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS022,3,10,PS,38684786040968.0,"2725 CALIFORNIA ST, San Francisco, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.787678, -122.439552)",37.787678,-122.439552,10696,2725 CALIFORNIA ST,Dr William Cobb CDC,CALIFORNIA,SIDEWALK,1,2,,2013,1,37.788021,-122.439512,POINT (-122.4395 37.788017),103.0,4.0,6.0,30.0,5.0,,,103.0,0.00038300000001356693
534987,"Stockton, Commodore Stockton Early Education School",SFUSD,-2,4,PK-4,USD PreK/TK-4,PS110,3,9,PS,38684780117465.0,"1 TRENTON ST, San Francisco, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.795082, -122.40908)",37.795082,-122.40908,9199,949 WASHINGTON ST,Commodore Stockton CDC,WASHINGTON,SIDEWALK,1,2,,2013,3,37.794827,-122.409042,POINT (-122.40903 37.794823),104.0,6.0,3.0,6.0,12.0,,,104.0,0.000293000000006316
587461,Redding Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS093,5,10,PS,38684786041511.0,"1421 PINE ST, San Francisco, CA 94109",3,6075,SAN FRANCISCO,"CA
(37.78952, -122.41925)",37.78952,-122.41925,10337,1421 PINE ST,Redding CDC,PINE,SIDEWALK,1,2,,2013,1,37.789516,-122.419241,POINT (-122.41923 37.789513),50.0,4.0,3.0,21.0,44.0,10.0,,50.0,1.300000000981072e-05
634111,Everett Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS029,11,13,PS,38684786062038.0,"450 CHURCH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.763577, -122.429367)",37.763577,-122.429367,11384,450 CHURCH ST,Everett Middle School,CHURCH,PARCEL,10,20,,0,0,37.763537,-122.429633,POINT (-122.42962 37.76353),37.0,3.0,5.0,5.0,88.0,,,37.0,0.0003059999999948104
689821,"Carmichael, Bessie Carmichael K-5 Campus / Early Education",SFUSD,0,8,K-8,USD Grades K-8,PS013,5,13,PS,384001456.0,"375 07TH ST, San Francisco, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.776382, -122.406456)",37.776382,-122.406456,11413,375 07TH ST,Bessie Carmichael CDC,07TH,SIDEWALK,1,2,,2013,1,37.776086,-122.406435,POINT (-122.40642 37.77608),32.0,1.0,10.0,34.0,35.0,,,32.0,0.00031700000000256523
741029,"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,-2,0,PK-TK,USD PreK/TK,PS095,3,5,PS,380504356.0,"421 BARTLETT ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.749821, -122.418556)",37.749821,-122.418556,11389,2950 MISSION ST,Mission CDC,MISSION,SIDEWALK,1,2,,2013,3,37.749814,-122.418544,POINT (-122.41853 37.74981),53.0,3.0,2.0,20.0,87.0,,,53.0,1.8999999994662176e-05
743301,"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,-2,0,PK-TK,USD PreK/TK,PS095,3,5,PS,380504356.0,"421 BARTLETT ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.749821, -122.418556)",37.749821,-122.418556,12803,2961 Mission St,The Civic Kitchen,Mission St,SIDEWALK,2,4,,2019,12,37.74969757,-122.41818751,POINT (-122.418175 37.74969),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00049191999999465
865196,Grattan Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-4, Grades K-5",PS041,3,10,PS,38684786041115.0,"165 GRATTAN ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.763493, -122.450424)",37.763493,-122.450424,10339,165 GRATTAN ST,Grattan Elementary School,GRATTAN,SIDEWALK,1,2,,2015,6,37.763626,-122.450467,POINT (-122.450455 37.763622),114.0,7.0,11.0,3.0,135.0,,,114.0,0.00017600000001039007
865456,Grattan Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-4, Grades K-5",PS041,3,10,PS,38684786041115.0,"165 GRATTAN ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.763493, -122.450424)",37.763493,-122.450424,10779,165 GRATTAN ST,Grattan School,GRATTAN,SIDEWALK,1,2,,2005,0,37.763475,-122.450493,POINT (-122.45048 37.76347),114.0,7.0,11.0,3.0,135.0,,,114.0,8.699999999350894e-05
917980,Marina Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS071,11,13,PS,38684786062061.0,"3500 FILLMORE ST, San Francisco, CA 94123",2,6075,SAN FRANCISCO,"CA
(37.801827, -122.435478)",37.801827,-122.435478,9596,3500 FILLMORE ST,Marina MS,FILLMORE,SIDEWALK,2,4,,2013,3,37.801821,-122.435468,POINT (-122.435455 37.801815),17.0,4.0,6.0,13.0,40.0,,,17.0,1.6000000009341875e-05
955481,City College of San Francisco Southeast Center,SFCCD,13,14,13-14,Community College District,CC10,18,19,CC,,"1800 OAKDALE AVE, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.737148, -122.394096)",37.737148,-122.394096,10643,1800 OAKDALE AVE,UNKNOWN,OAKDALE,SIDEWALK,1,2,,2004,0,37.737048,-122.394116,POINT (-122.394104 37.73704),86.0,2.0,9.0,1.0,21.0,,,86.0,0.00011999999998835165
1017403,Galileo High School,SFUSD,9,12,9-12,USD Grades 9-12,PS035,14,17,PS,38684783831765.0,"1150 FRANCISCO ST, San Francisco, CA 94109",2,6075,SAN FRANCISCO,"CA
(37.803791, -122.424149)",37.803791,-122.424149,9765,1150 FRANCISCO ST,Galileo HS,FRANCISCO,PARCEL,4,8,,0,0,37.803785,-122.424132,POINT (-122.42412 37.80378),107.0,4.0,6.0,32.0,23.0,,,107.0,2.2999999998774e-05
1068431,City College of San Francisco Mission Center,SFCCD,13,14,13-14,Community College District,CC08,18,19,CC,,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.754791, -122.420616)",37.754791,-122.420616,9372,110 BARTLETT ST,CCSF Mission,22ND; BARTLETT,PARCEL,10,20,,2007,0,37.754842,-122.420291,POINT (-122.42028 37.754837),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00037599999998860767
1068847,City College of San Francisco Mission Center,SFCCD,13,14,13-14,Community College District,CC08,18,19,CC,,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.754791, -122.420616)",37.754791,-122.420616,10236,3295 22ND ST,Esperpento Restaurant,22ND,SIDEWALK,1,2,,2004,0,37.755153,-122.42064,POINT (-122.42062 37.75515),53.0,3.0,2.0,20.0,87.0,,,53.0,0.0003860000000130981
1069957,City College of San Francisco Mission Center,SFCCD,13,14,13-14,Community College District,CC08,18,19,CC,,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.754791, -122.420616)",37.754791,-122.420616,11955,1109 VALENCIA ST,UNKNOWN,VALENCIA,SIDEWALK,1,2,,2002,0,37.755153,-122.42064,POINT (-122.42062 37.75515),53.0,3.0,2.0,20.0,87.0,,,53.0,0.0003860000000130981
1070525,City College of San Francisco Mission Center,SFCCD,13,14,13-14,Community College District,CC08,18,19,CC,,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.754791, -122.420616)",37.754791,-122.420616,9727,1125 VALENCIA ST,CCSF Mission Campus,VALENCIA,SIDEWALK,1,2,,2010,0,37.754842,-122.420291,POINT (-122.42028 37.754837),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00037599999998860767
1135852,"Milk, Harvey Milk Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS077,5,10,PS,38684786040919.0,"4235 19TH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.758926, -122.436447)",37.758926,-122.436447,9059,4235 19TH ST,Harvey Milk Civil Rights Academy,19TH,SIDEWALK,1,2,,2006,0,37.758923,-122.436434,POINT (-122.436424 37.75892),115.0,3.0,5.0,5.0,171.0,,,115.0,1.599999999513102e-05
1155444,"Serra, Junipero Serra Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS104,5,10,PS,38684786041289.0,"625 HOLLY PARK CIR, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.736912, -122.421486)",37.736912,-122.421486,10834,625 HOLLY PARK CIR,Junipero Serra Elementary School,HOLLY PARK,SIDEWALK,3,6,,2012,9,37.736905,-122.421476,POINT (-122.42146 37.7369),61.0,9.0,2.0,2.0,158.0,,,61.0,1.699999999971169e-05
1194915,Mission Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS079,5,10,PS,38684786089585.0,"1670 NOE ST, San Francisco, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.742203, -122.431435)",37.742203,-122.431435,9570,1670 NOE ST,Kate Kennedy CDC,NOE,SIDEWALK,1,2,,2013,4,37.742202,-122.431322,POINT (-122.43131 37.742195),84.0,9.0,5.0,22.0,168.0,,,84.0,0.00011400000000350019
1201512,"Peabody, George Peabody Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS090,5,10,PS,38684786041065.0,"251 06TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.783855, -122.465027)",37.783855,-122.465027,10202,251 06TH AVE,Peabody Elementary School,06TH,SIDEWALK,1,2,,2012,3,37.783929,-122.464781,POINT (-122.46477 37.783924),5.0,8.0,4.0,11.0,97.0,,,5.0,0.0003200000000020964
1204044,"Peabody, George Peabody Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS090,5,10,PS,38684786041065.0,"251 06TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.783855, -122.465027)",37.783855,-122.465027,12166,251 6th Ave,Peabody Elementary School,06TH,SIDEWALK,3,6,,2016,7,37.783881,-122.464576,POINT (-122.46456 37.783875),5.0,8.0,4.0,11.0,97.0,,,5.0,0.00047700000001071885
1205207,"Peabody, George Peabody Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS090,5,10,PS,38684786041065.0,"251 06TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.783855, -122.465027)",37.783855,-122.465027,12030,251 6th Ave,Peabody Elementary School,07TH,SIDEWALK,3,6,,2016,7,37.783881,-122.464576,POINT (-122.46456 37.783875),5.0,8.0,4.0,11.0,97.0,,,5.0,0.00047700000001071885
1224190,Rooftop (5-8 Mayeda Campus),SFUSD,-2,8,PK-8,USD Grades PK-8,PS096,3,13,PS,38684786089775.0,"500 CORBETT AVE, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.757397, -122.444496)",37.757397,-122.444496,11932,500 CORBETT AVE,Rooftop ES,CORBETT,SIDEWALK,3,6,,2012,6,37.757391,-122.444487,POINT (-122.44447 37.757385),47.0,7.0,5.0,5.0,134.0,,,47.0,1.5000000004761205e-05
1257425,Tule Elk Park Early Education School,SFUSD,-2,5,PK-5,USD PreK/TK-5,PS116,3,10,PS,38684780117523.0,"2110 GREENWICH ST, San Francisco, CA 94123",2,6075,SAN FRANCISCO,"CA
(37.799419, -122.434563)",37.799419,-122.434563,9984,2110 GREENWICH ST,Tule Elk Park CDC,GREENWICH,SIDEWALK,1,2,,2015,1,37.799097,-122.434941,POINT (-122.43493 37.79909),15.0,4.0,6.0,13.0,40.0,,,15.0,0.0006999999999948159
1301408,City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,,"88 4TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.784565, -122.404724)",37.784565,-122.404724,12496,100 Jessie street,Flatiron Wines & Spirits,Jessie street,SIDEWALK,1,2,,2019,12,37.78486656,-122.40486274,POINT (-122.40485 37.784863),32.0,5.0,10.0,34.0,181.0,4.0,,32.0,0.00044029999999395386
1301571,City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,,"88 4TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.784565, -122.404724)",37.784565,-122.404724,10729,70 04TH ST,Cole Hardware,JESSIE,SIDEWALK,1,2,,2003,0,37.78468,-122.404897,POINT (-122.404884 37.784676),32.0,5.0,10.0,34.0,181.0,4.0,,32.0,0.0002880000000047289
1302912,City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,,"88 4TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.784565, -122.404724)",37.784565,-122.404724,9137,70 04TH ST,Cole Hardware,04TH,SIDEWALK,2,4,,2015,7,37.784703,-122.404883,POINT (-122.40487 37.7847),32.0,5.0,10.0,34.0,181.0,4.0,,32.0,0.00029699999999621696
1304268,City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,,"88 4TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.784565, -122.404724)",37.784565,-122.404724,10319,70 04TH ST,Cole Hardware,04TH,SIDEWALK,0,0,,2015,8,37.784847,-122.404841,POINT (-122.40483 37.784843),32.0,5.0,10.0,34.0,181.0,4.0,,32.0,0.0003990000000015925
1304372,City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,,"88 4TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.784565, -122.404724)",37.784565,-122.404724,9769,818 MISSION ST,Community Vocational Enterprises,MISSION,SIDEWALK,2,4,,2013,1,37.784291,-122.40507,POINT (-122.40506 37.784286),32.0,5.0,10.0,34.0,181.0,4.0,,32.0,0.0006199999999907391
1384757,City College of San Francisco Evans Center,SFCCD,13,14,13-14,Community College District,CC04,18,19,CC,,"1400 EVANS AVE, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.741859, -122.384682)",37.741859,-122.384682,12150,1400 EVANS AVE,CCSF,EVANS,SIDEWALK,1,2,,2004,0,37.741793,-122.384694,POINT (-122.38468 37.741787),76.0,2.0,9.0,1.0,21.0,,,76.0,7.799999999491547e-05
